,ID,RA,Dec,file
72,757426,149.77376401604903,2.141526876209268,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
73,1245712,150.1725401173526,2.599325652066901,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
74,1195718,150.16246416403504,2.552067564800521,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
75,788911,149.78612663059047,2.1742752523475715,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
76,1340296,150.16234108353763,2.6934253644594968,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
77,1077922,150.54881604287212,2.438051096585441,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
78,790849,149.80812825961175,2.1711918701579824,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
79,938971,150.0977323350759,2.3095783535497088,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
80,1350740,150.14203768358217,2.703758906442666,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
81,936271,150.09969228526774,2.3059391853430906,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
82,1216480,150.20459570801393,2.57215580802587,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
83,1091486,150.51567310099438,2.4507410809215693,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
84,928761,150.0948543082267,2.297023516085556,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
85,1101855,150.53413772376976,2.459576649481671,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
86,1330151,150.12858312628228,2.6829237724405792,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
87,1131017,150.52372837527304,2.486482553655559,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
88,1204068,150.203501262622,2.5567705224605444,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
89,938180,150.09506038543054,2.300488402135198,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
90,1365069,150.1305543148644,2.7137175124453154,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
91,778841,149.79978953851182,2.161938886641632,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
92,946137,150.09469708818096,2.313625906563684,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
93,931992,150.0961046023209,2.29855892044502,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
94,1342446,150.1463326164134,2.692115108879502,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
95,1208475,150.18971866047409,2.563105865552454,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
96,938683,150.0986365347321,2.309057816942898,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
97,1206888,150.18619227034236,2.558984775321754,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
98,1203157,150.20281287513265,2.558503505996433,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
99,1346381,150.15549712733602,2.696884067688425,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
100,1358378,150.1463166628447,2.71120366360408,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
101,765571,149.79535160385615,2.14880367325722,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
102,1234275,150.19643121537354,2.590875712098757,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
103,1074018,150.53603012625112,2.43470888282787,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
104,978861,150.07760530263644,2.3459466501358497,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
105,792176,149.786749179434,2.172337552600996,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
106,941119,150.09747989369671,2.310443907564215,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
107,795703,149.78650808651565,2.176260784457641,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
108,1077841,150.5500416534637,2.437917134498155,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
109,1340598,150.16062677160784,2.6923468082319144,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
110,787760,149.78597626958904,2.173313046371953,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
111,1192247,150.16142748259892,2.5517805998014937,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
112,765529,149.76558873634534,2.1531264424785874,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
113,1341335,150.15211270821777,2.693552567974048,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
114,1204844,150.18661213539872,2.5573867036660145,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
115,940259,150.1004345959885,2.308000998948605,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
116,927107,150.10552416449195,2.297616522796306,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
117,1080792,150.53908864939595,2.438703557065016,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
118,944297,150.09400900907835,2.313166112415828,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
119,963619,150.10738474059826,2.329205329187599,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
120,766445,149.7950111903584,2.150607349246736,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
121,929423,150.09400970049714,2.2990908258855955,hst_9822_44_acs_wfc_f814w_j8pu44_drc.fits.gz
122,1348432,150.13610261423543,2.701734520481739,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
123,1349850,150.13821141682124,2.7015275712743523,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
124,1331318,150.14332862078314,2.6832827949637923,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
125,1091440,150.5133015795368,2.4519467596080347,hst_9822_0n_acs_wfc_f814w_j8pu0n_drc.fits.gz
126,1360056,150.13020052650364,2.7114223445884704,hst_10092_0y_acs_wfc_f814w_j8xi0y_drc.fits.gz
127,1200788,150.1964015759141,2.5569526762851464,hst_9822_34_acs_wfc_f814w_j8pu34_drc.fits.gz
128,778044,149.77174573027577,2.161333941748154,hst_9822_6j_acs_wfc_f814w_j8pu6j_drc.fits.gz
