Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J06236-096,3.5,,,J06236-096,24.529,0.012,0.0,0.0,0.0,Infinity,1.623707691891136,0.46875108245700464,3.5,,,,,,,,14.652,0.04,12.6725,0.0028,11.4754,0.0039,Infinity,J06236-096,LP  720-10,15.511,0.05,UCAC4,14.652,0.04,13.931,0.05,UCAC4
J06237+020,1.5,0.6186,0.0234,J06237+020,24.79,0.011,0.063,0.002,32945.42645892942,9.224345716455569E-5,2.235040554353681,0.6067484073270722,1.5,,,,8.0,,,,11.923,0.03,10.3596,0.0028,9.3307,0.0043,9.22434571645557E-5,J06237+020,TYC 141-24-1,12.657,0.03,UCAC4,11.923,0.03,11.229,0.02,UCAC4
J06262+238,1.5,0.5448,0.0206,J06262+238,27.518,0.018,0.044,0.001,18673.538240068432,2.5078268657675E-4,4.243844912330677,0.8409754199304826,1.5,LA/IC,Karmn,,,,8.0,,12.591,0.04,10.9956,0.003,9.9558,0.0043,2.507826865767499E-4,J06262+238,1RXS J062614.2+234942,13.338,0.05,UCAC4,12.591,0.04,11.82,0.04,UCAC4
J06293-028,4.5,,,J06293-028,4.116,0.015,0.0,0.0,0.0,Infinity,1.2159288336392182,0.060762988592638095,4.5,,,,5.1,,8.100000381469727,0.1,11.891,0.05,9.6296,0.0045,8.2579,0.0096,Infinity,J06293-028,V577 Mon,12.816,0.04,UCAC4,11.891,0.05,11.102,0.02,UCAC4
J06310+500,0.5,0.5405,0.0202,J06310+500,20.586,0.007,0.048,0.001,36400.298775833406,6.932635571416073E-4,12.798199986926141,1.3358612544390414,0.5,Cas,Karmn,,,,4.983699798583984,,11.839,0.04,10.2637,0.0028,9.2338,0.0041,6.932635571416074E-4,J06310+500,StKM 1-598,12.545,0.08,UCAC4,11.839,0.04,11.063,0.04,UCAC4
J06318+414,5.0,0.3466,0.111,J06318+414,27.849,0.02,0.013,0.0,5386.81157526955,0.0012944577608029928,6.472030045996167,1.395946190542449,5.0,LA,Karmn,,58.4,26.1,0.299404,8.626221E-6,15.518,0.06,13.0385,0.003,11.7148,0.0045,0.0012944577608029935,J06318+414,LP 205-044,16.497,0.01,UCAC4,15.518,0.06,14.783,0.03,UCAC4
J06354-040,5.5,,,J06354-040,12.632,0.049,0.0,0.0,0.0,Infinity,1.4589459407822831,0.25054151317132306,5.5,,,,9.9,,,,15.384,0.02,12.6878,0.0031,11.3248,0.0039,Infinity,J06354-040,1RXS J063531.2-040314,16.441,0.11,UCAC4,15.384,0.02,14.586,0.02,UCAC4
J06371+175,0.0,0.439,0.011,J06371+175,9.998,0.002,0.036,0.0,115740.10377461588,1.861066280071397E-5,0.2576757817811896,0.08314051199981119,0.0,,,,2.0,,,,10.518,0.12,8.8783,0.0028,7.9017,0.0038,1.861066280071397E-5,J06371+175,HD 260655,11.105,0.07,UCAC4,10.518,0.12,9.767,0.11,UCAC4
J06396-210,4.0,0.3258,0.0129,J06396-210,15.689,0.218,0.014,0.0,18278.694681972527,7.221522517983439E-5,0.38883567046037043,0.15818541433748107,4.0,,,,2.0,,,,13.585,0.03,12.2668,0.0031,10.2003,0.0044,7.221522517983439E-5,J06396-210,LP 780-032,14.549,0.01,UCAC4,13.585,0.03,12.758,0.01,UCAC4
J06438+511,2.5,,,J06438+511,18.858,0.009,0.0,0.0,0.0,Infinity,1.7044937127676565,0.4651714525532379,2.5,,,,,,,,13.188,0.025,11.5079,0.0028,10.2677,0.0149,Infinity,J06438+511,G 192-39A,13.966,0.024,APASS9,13.188,0.025,12.377,0.037,APASS9
J06447+718,0.5,,,J06447+718,21.508,0.032,0.0,0.0,0.0,Infinity,0.8813425033961072,0.34987970170391813,0.5,,,,,,,,11.72,0.02,10.195,0.0028,9.1316,0.0038,Infinity,J06447+718,G 251-016,12.374,0.02,UCAC4,11.72,0.02,10.917,0.04,UCAC4
J06467+159,1.0,0.5756,0.0227,J06467+159,22.377,0.01,0.055,0.002,35299.340766195346,0.001215773423375366,25.717255085307496,1.713844398790741,1.0,Cas,Karmn,,,,4.996600151062012,,11.884,0.11,10.2431,0.0029,9.233,0.0041,0.001215773423375366,J06467+159,TYC 1330-879-1,12.574,0.11,UCAC4,11.884,0.11,11.046,0.02,UCAC4
J06489+211,2.5,0.5297,0.0208,J06489+211,34.971,0.027,0.033,0.001,8671.724686389563,2.789525726239073E-4,3.540410242044025,1.0903702955566168,2.5,HS,Karmn,,,,21.87779998779297,,13.772,0.04,11.9783,0.0029,10.8598,0.0042,2.789525726239073E-4,J06489+211,2MASS J06485522+2108039,14.599,0.02,UCAC4,13.772,0.04,12.989,0.05,UCAC4
J06574+740,4.0,0.269,0.0071,J06574+740,14.0,0.6,0.007,0.001,11477.561931447535,0.0013207509127172866,3.5557257169709637,0.41728583949655973,4.0,,,,27.1,2.7,,,13.79,0.04,12.3714,0.0133,10.5862,0.0041,0.001320750912717287,J06574+740,2MASS J06572616+7405265,14.563,0.09,UCAC4,13.79,0.04,13.005,0.06,UCAC4
J06579+623,4.5,,,J06579+623,11.49,0.007,0.0,0.0,0.0,Infinity,4.515637465260016,0.43258861731732495,4.5,,,,3.7,,54.2,5.4,14.338,0.08,12.1485,0.003,10.6762,0.0089,Infinity,J06579+623,G 250-31A,15.328,0.07,UCAC4,14.338,0.08,13.56,0.09,UCAC4
J06596+057,2.5,0.5091,0.0196,J06596+057,29.086,0.019,0.035,0.001,13295.592510849494,5.148322487024163E-4,6.9301569292881915,1.282762428189872,2.5,LA/Cas,Karmn,bet Pic,,,,,13.223,0.02,11.4674,0.0029,10.3746,0.0041,5.148322487024163E-4,J06596+057,2MASS J06594156+0545400,13.978,0.05,UCAC4,13.223,0.02,12.498,0.04,UCAC4
J07001-190,5.0,0.6499,0.0262,J07001-190,29.828,0.027,0.03,0.0,10836.291139068258,7.503489395748777E-4,8.657525871304152,1.6493061747092508,5.0,,,,3.8,1.5,,,14.7,0.03,12.2984,0.0028,10.9982,0.004,7.503489395748778E-4,J07001-190,2MASS J07000682-1901235,15.555,0.03,UCAC4,14.7,0.03,13.918,0.03,UCAC4
J07033+346,4.0,0.25229,0.00984,J07033+346,13.272,0.005,0.007,0.0,12771.23657001941,4.744254780686112E-4,1.277248311480743,0.24389770972621522,4.0,,,,2.0,,8.04,0.03,13.897,0.05,11.7596,0.0029,10.5226,0.0041,4.744254780686112E-4,J07033+346,LP 255-011,14.78,0.03,UCAC4,13.897,0.05,13.086,0.12,UCAC4
J07051-101,5.0,0.1827,0.0107,J07051-101,17.096,0.006,0.003,0.0,3298.677580973906,4.556371406680756E-4,0.5257141374725136,0.1965744037604364,5.0,,,,,,0.5410130131507886,5.101903E-5,15.94,0.09,13.4295,0.0028,12.1253,0.0039,4.556371406680756E-4,J07051-101,2MASS J07051194-1007528,17.011,0.16,UCAC4,15.94,0.09,15.101,0.02,UCAC4
J07100+385,4.5,,,J07100+385,6.053,0.002,0.0,0.0,0.0,Infinity,0.601409695209563,0.08497608641248967,4.5,,,,15.0,,5.59,,12.267,0.01,9.9347,0.0029,8.6419,0.0039,Infinity,J07100+385,QY Aur,13.263,0.06,UCAC4,12.267,0.01,11.519,0.03,UCAC4
J07105-087,3.5,0.366,0.016,J07105-087,19.335,0.01,0.013,0.0,11175.390623509538,3.120248862908064E-4,1.5600620586645626,0.3731263974207679,3.5,,,,,,,,13.912,0.04,11.9179,0.0029,10.7096,0.0043,3.1202488629080663E-4,J07105-087,2MASS J07103147-0842485,14.78,0.03,UCAC4,13.912,0.04,13.203,0.02,UCAC4
J07129+357,2.5,0.45,0.018,J07129+357,23.631,0.012,0.024,0.0,13811.940182585131,1.6768100311217345E-4,1.5477627445802917,0.5620330347596257,2.5,UMa,Karmn,,,,,,13.234,0.01,11.4379,0.0029,10.3221,0.0041,1.6768100311217345E-4,J07129+357,2MASS J07125952+3547032,14.031,0.01,UCAC4,13.234,0.01,12.489,0.03,UCAC4
