Karmn_1a,SpTnum_1,M_Msol,eM_Msol,Karmn_1,d_pc_1,ed_pc_1,L_Lsol_1,eL_Lsol,F_bol_E-13_ergcm-2s-1,F_x/F_bol,L_x_E28_ergs-1,eL_x_E28_ergs-1,SpTnum_2,SKG,Ref14,SKG_lit,vsini_kms-1,evsini_kms-1,P_d,eP_d,g_mag_1,eg_mag_1,GG_mag,eGG_mag,RP_mag,eRP_mag,L_x/L_Lsol,Karmn_2,Name,B_mag,eB_mag,Ref25,g_mag_2,eg_mag_2,V_mag,eV_mag,Ref29
J09133+688,2.5,0.5756,0.0243,J09133+688,23.606,0.17,0.072,0.001,41523.6289716212,1.3809005493986285E-4,3.823879164741142,0.6548742900852296,2.5,HS,Karmn,AB Dor?,2.0,,10.399999618530272,0.1,12.021,0.06,10.8713,0.003,9.2077,0.005,1.3809005493986288E-4,J09133+688,G 234-57A,12.767,0.08,UCAC4,12.021,0.06,11.168,0.05,UCAC4
J09144+526,0.0,0.5848,0.0154,J09144+526,6.334,0.001,0.075,0.002,600776.3253384539,2.300523425485503E-5,0.663586008449831,0.07288355097518358,0.0,LA?,Tet11,LA?,2.3,1.5,,,8.64,0.001,7.0545,0.0028,6.113,0.0038,2.3005234254855023E-5,J09144+526,HD 79211,7.966,0.0,UCAC4,8.64,0.001,8.516,0.01,UCAC4
J09156-105,5.0,,,J09156-105,7.41,0.66,0.0,0.0,0.0,Infinity,0.2345225263254224,0.07057360411693368,5.0,,,,,,,,14.569,0.03,12.0051,0.0048,10.6158,0.0039,Infinity,J09156-105,G 161-007,15.643,0.04,UCAC4,14.569,0.03,13.804,0.04,UCAC4
J09161+018,4.0,0.3146,0.0157,J09161+018,15.652,0.007,0.01,0.0,13118.009796748034,7.043751235350326E-4,2.7090266645642695,0.5599827886433033,4.0,UMa,Karmn,,10.4,1.5,1.432644,1.6814785E-4,13.754,0.04,11.6887,0.003,10.474,0.0043,7.043751235350326E-4,J09161+018,RX J0916.1+0153,14.601,0.04,UCAC4,13.754,0.04,13.028,0.03,UCAC4
J09163-186,1.5,0.4431,0.0114,J09163-186,13.443,0.003,0.033,0.0,58685.28437198731,5.306270754823879E-5,0.673461268011517,0.18707257158305937,1.5,,,,2.0,,,,11.482,0.03,9.8073,0.0028,8.7317,0.0039,5.306270754823878E-5,J09163-186,LP 787-052,12.251,0.02,UCAC4,11.482,0.03,10.739,0.01,UCAC4
J09168+248,4.5,0.3761,0.0171,J09168+248,35.095,0.034,0.01,0.0,2609.258634882349,5.905892148758003E-4,2.271406069642445,0.9123948016559938,4.5,AB Dor?,Schl12a,AB Dor?,,,,,16.094,0.09,13.7123,0.0029,12.4141,0.0042,5.905892148758003E-4,J09168+248,2MASS J09165078+2448559,17.095,0.06,UCAC4,16.094,0.09,15.365,0.0,UCAC4
J09177+462,2.5,,,J09177+462,33.447,0.475,0.0,0.0,0.0,Infinity,81.50216691662789,5.683208690928628,2.5,,,,35.1,,0.56,,12.37,0.05,10.9417,0.0117,9.5525,0.0039,Infinity,J09177+462,RX J0917.7+4612,13.135,0.05,UCAC4,12.37,0.05,11.581,0.04,UCAC4
J09193+385N,4.0,0.2251,0.0118,J09193+385N,19.332,0.008,0.005,0.0,4299.5603731882065,3.942263639375791E-4,0.7580972809071697,0.19768671920772815,4.0,,,,,,,,15.347,0.002,13.1692,0.0028,11.8926,0.0039,3.9422636393757915E-4,J09193+385N,GJ 1122 B,,,,15.347,0.002,,,
J09193+620,0.0,,,J09193+620,37.941,0.029,0.0,0.0,0.0,Infinity,31.131595029512468,3.8262007893472054,0.0,,,,,,20.2,,11.94,0.05,10.5142,0.0028,9.4937,0.004,Infinity,J09193+620,LP 091-014,12.619,0.07,UCAC4,11.94,0.05,11.226,0.05,UCAC4
J09200+308,1.5,,,J09200+308,23.3,0.4,0.0,0.0,0.0,Infinity,7.762625650701042,1.2045453462380282,1.5,,,,,,,,12.332,0.09,11.2161,0.0151,9.6573,0.0041,Infinity,J09200+308,TYC 2493-1386-1,13.031,0.04,UCAC4,12.332,0.09,11.522,0.02,UCAC4
J09201+037,3.5,0.4615,0.0197,J09201+037,24.776,0.362,0.023,0.001,12041.293648563342,1.66344254981259E-4,1.471448013573171,0.5428857232239184,3.5,,,,,,,,14.165,0.04,12.1332,0.0028,10.9308,0.0038,1.66344254981259E-4,J09201+037,1RXS J092010.8+034731,15.056,0.07,UCAC4,14.165,0.04,13.407,0.02,UCAC4
J09218+435,4.5,,,J09218+435,29.384,0.115,0.0,0.0,0.0,Infinity,1.8340949807347036,0.5424787797696842,4.5,,,,,,28.78,,14.758,0.03,13.0937,0.0035,11.2778,0.0054,Infinity,J09218+435,G 115-071,15.712,0.05,UCAC4,14.758,0.03,13.919,0.07,UCAC4
J09228+467,1.0,,,J09228+467,33.977,0.021,0.0,0.0,0.0,Infinity,3.6570059035439533,1.152226220799825,1.0,,,,,,16.61,,12.643,0.001,10.869,0.0028,9.8822,0.0038,Infinity,J09228+467,G 115-72,13.106,0.086,APASS9,12.643,0.001,11.535,0.033,APASS9
J09231+223,0.0,0.6737,0.0238,J09231+223,33.963,0.025,0.082,0.002,22845.959624305695,1.1529391219531905E-4,3.6360472681198908,1.5032860029671622,0.0,LA,Karmn,,7.0,,,,12.11,0.042,10.641,0.0028,9.686,0.0038,1.1529391219531903E-4,J09231+223,BD+22  2086B,,,,12.11,0.042,,,
J09248+306,3.5,0.459,0.0189,J09248+306,31.758,0.028,0.022,0.0,7010.097660753479,7.949960505435554E-4,6.7266205464102375,1.4049500468823282,3.5,AB Dor?,Schl12a,AB Dor?,44.9,3.1,0.373,,14.276,0.08,12.296,0.0031,11.119,0.0051,7.949960505435554E-4,J09248+306,LSPM J0924+3041,15.074,0.05,UCAC4,14.276,0.08,13.52,0.04,UCAC4
J09302+265,3.5,0.4754,0.0191,J09302+265,24.208,0.019,0.024,0.0,13161.369451618419,4.5261245804592483E-4,4.177794069061927,0.7048318239771234,3.5,LA,Karmn,,8.0,,10.542099952697754,,13.61,0.03,11.6469,0.0029,10.463,0.004,4.526124580459249E-4,J09302+265,2MASS J09301445+2630250,14.395,0.02,UCAC4,13.61,0.03,12.847,0.05,UCAC4
J09308+024,4.0,0.3465,0.0162,J09308+024,22.085,0.139,0.012,0.0,7906.679619117958,3.1720014188243507E-4,1.4639421075409025,0.5014060453789474,4.0,,,,,,,,14.554,0.02,12.39,0.0028,11.1476,0.0038,3.1720014188243507E-4,J09308+024,1RXS J093051.2+0222741,15.447,0.05,UCAC4,14.554,0.02,13.815,0.03,UCAC4
J09313-134,3.0,,,J09313-134,10.01,0.36,0.0,0.0,0.0,Infinity,0.18922424317748396,0.07158864216524845,3.0,,,,,,,,10.82,0.02,9.6545,0.0034,7.8666,0.0045,Infinity,J09313-134,Ross 440,11.607,0.03,UCAC4,10.82,0.02,10.071,0.06,UCAC4
J09362+375,0.0,,,J09362+375,38.849,0.034,0.0,0.0,0.0,Infinity,15.955802819393075,2.8971143697055606,0.0,,,,1.9,,,,11.734,0.01,10.2916,0.0028,9.3272,0.0039,Infinity,J09362+375,TYC 2992-428-1,12.453,0.01,UCAC4,11.734,0.01,11.015,0.01,UCAC4
J09394+146,3.5,0.2896,0.0134,J09394+146,19.421,0.009,0.009,0.0,7668.439545934656,2.900198878520007E-4,1.003874796596313,0.3963138945794063,3.5,,,,,,,,14.154,0.05,12.1867,0.0028,11.0001,0.0039,2.9001988785200077E-4,J09394+146,NLTT 22280,15.015,0.06,UCAC4,14.154,0.05,13.432,0.02,UCAC4
J09411+132,1.5,0.4501,0.0115,J09411+132,11.545,0.003,0.034,0.0,81978.26510769823,3.1593739032739005E-5,0.41313239153955683,0.11787832305952248,1.5,,,,2.0,,,,11.133,0.02,9.4426,0.0028,8.3671,0.0038,3.1593739032739005E-5,J09411+132,Ross 85,11.867,0.02,UCAC4,11.133,0.02,10.393,0.02,UCAC4
J09428+700,3.0,0.42,0.013,J09428+700,11.863,0.003,0.024,0.0,54806.220493486995,2.2026695950143693E-4,2.0331521606549208,0.24808095967036295,3.0,HS,Karmn,,2.0,,23.9,0.6,12.064,0.12,10.0802,0.0028,8.9087,0.0039,2.202669595014369E-4,J09428+700,GJ 362,12.724,0.077,APASS9,12.064,0.12,11.244,0.059,APASS9
J09449-123,5.0,0.1672,0.0265,J09449-123,13.149,0.006,0.009,0.0,16728.796250977735,0.001488391620908852,5.151918534835138,0.4481728142211058,5.0,IC,Karmn,Arg,31.2,3.1,0.441612,1.8773655E-5,14.495,0.11,11.8722,0.0039,10.5341,0.0083,0.0014883916209088525,J09449-123,G 161-071,15.366,0.27,UCAC4,14.495,0.11,13.75,0.11,UCAC4
J09488+156,3.0,0.2677,0.0128,J09488+156,17.187,0.008,0.008,0.0,8703.571523498915,6.096348169680431E-4,1.875724493939404,0.3973452979785777,3.0,,,,,,,,13.978,0.05,12.0333,0.0028,10.864,0.0039,6.096348169680432E-4,J09488+156,G 43-2,14.861,0.04,UCAC4,13.978,0.05,13.245,0.02,UCAC4
J09531-036,2.0,,,J09531-036,15.72,0.018,0.0,0.0,0.0,Infinity,0.3812059267935158,0.17744263698429602,2.0,,,,4.0,,,,11.264,0.02,9.5549,0.0029,8.4529,0.0039,Infinity,J09531-036,GJ 372,12.065,0.08,UCAC4,11.264,0.02,10.569,0.04,UCAC4
J09539+209,4.5,0.1578,0.0101,J09539+209,9.545,0.003,0.002,0.0,7054.8178757387195,3.4557943333230124E-4,0.2658197127449643,0.08537195904229337,4.5,,,,16.5,0.4,0.615,,14.825,0.02,12.3635,0.0029,11.062,0.0039,3.4557943333230113E-4,J09539+209,NLTT 22870,15.891,0.05,UCAC4,14.825,0.02,14.081,0.03,UCAC4
J09557+353,3.0,0.373,0.016,J09557+353,19.188,0.012,0.015,0.0,13093.010162646457,5.509810299886754E-4,3.178609490957208,0.47498485773307464,3.0,,,,,,,,13.565,0.07,11.6152,0.0028,10.4432,0.0039,5.509810299886755E-4,J09557+353,G 116-065,14.424,0.04,UCAC4,13.565,0.07,12.813,0.03,UCAC4
J09561+627,0.0,0.588,0.0133,J09561+627,10.521,0.002,0.073,0.0,211941.73384411228,1.6532845537060927E-5,0.4641728579074502,0.08133622983635842,0.0,,,,2.0,,,,9.88,0.001,8.2312,0.0028,7.2611,0.0038,1.6532845537060934E-5,J09561+627,BD+63 869,10.676,0.02,UCAC4,9.88,0.001,9.182,0.03,UCAC4
J09589+059,4.5,0.1744,0.0133,J09589+059,15.041,0.005,0.003,0.0,4261.627415107069,4.1204917063768047E-4,0.47542233721429017,0.16758908205648765,4.5,LA/Cas,Karmn,,22.3,0.4,0.4533,,15.448,0.09,13.0769,0.0028,11.792,0.0039,4.120491706376805E-4,J09589+059,NLTT 23096,16.506,0.03,UCAC4,15.448,0.09,14.707,0.02,UCAC4
J09593+438W,3.5,,,J09593+438W,27.213,0.018,0.0,0.0,0.0,Infinity,14.787906643706224,1.5278886165851489,3.5,,,,22.5,0.7,0.755,,14.676,0.07,12.5837,0.0031,11.3712,0.0054,Infinity,J09593+438W,G 116-072 A,15.52,0.1,UCAC4,14.676,0.07,13.891,0.02,UCAC4
J10028+484,5.5,,,J10028+484,16.6,0.6,0.0,0.0,0.0,Infinity,1.6811932921174124,0.3126267651376658,5.5,,,,22.0,,0.2682,,16.264,0.014,13.5785,0.0067,12.0894,0.0039,Infinity,J10028+484,G 195-055,,,,16.264,0.014,,,
J10043+503,2.5,0.5718,0.0217,J10043+503,21.808,0.009,0.043,0.001,29056.575834198,0.001758397093869024,29.08002044656747,1.6306394475787218,2.5,LA,Karmn,AB Dor?,15.2,5.0,1.312999963760376,,12.385,0.07,10.6145,0.0028,9.5073,0.0039,0.0017583970938690244,J10043+503,NLTT 23293,13.175,0.11,UCAC4,12.385,0.07,11.674,0.11,UCAC4
J10122-037,1.5,0.4974,0.0127,J10122-037,7.707,0.001,0.042,0.0,227240.7710885179,1.4544045291369803E-5,0.234932869233189,0.04606248007146841,1.5,,Karmn,,2.0,,21.6,0.2,9.711,0.066,8.3318,0.0028,7.2572,0.0041,1.4544045291369803E-5,J10122-037,AN Sex,10.698,0.04,UCAC4,9.711,0.066,9.593,0.04,UCAC4
J10143+210,0.5,,,J10143+210,23.396,0.104,0.0,0.0,0.0,Infinity,25.228544418175783,1.9180322604368578,0.5,,,,7.68,0.7,7.86,,10.827,0.01,9.3694,0.0028,8.4051,0.0042,Infinity,J10143+210,DK Leo,11.425,0.01,UCAC4,10.827,0.01,10.01,0.04,UCAC4
J10148+213,4.5,0.248,0.0126,J10148+213,18.118,0.116,0.006,0.0,5874.060359282472,7.206258606019519E-4,1.6629162503797041,0.4144523125772938,4.5,LA,Karmn,,,,,,15.25,0.01,12.8651,0.0029,11.5757,0.0045,7.20625860601952E-4,J10148+213,G 54-19,16.24,0.04,UCAC4,15.25,0.01,14.414,0.01,UCAC4
J10182-204,4.5,0.5402,0.0223,J10182-204,25.325,0.028,0.021,0.0,10522.720074002873,5.366482997033563E-4,4.334293598949168,0.9133716629328745,4.5,,,,,,,,14.692,0.01,12.3197,0.0032,11.0133,0.0054,5.366482997033563E-4,J10182-204,NLTT 23956,15.487,0.01,UCAC4,14.692,0.01,13.912,0.05,UCAC4
J10196+198,3.0,0.4461,0.0048,J10196+198,4.965,0.001,0.024,0.0,312881.8536533522,8.352034618592493E-4,7.7092621013571705,0.3743706187406821,3.0,Cas,Cab10,Cas,4.35,0.03,2.2399,6.0E-4,10.124,0.05,8.2041,0.0028,7.0326,0.0039,8.352034618592493E-4,J10196+198,AD Leo,10.824,0.01,UCAC4,10.124,0.05,9.524,0.0,UCAC4
J10251-102,1.0,0.5111,0.0123,J10251-102,12.792,0.004,0.046,0.0,90341.77231714746,1.6459716811130854E-5,0.29119872650178513,0.13825574571856125,1.0,HS,Karmn,,2.0,,,,10.951,0.06,9.2755,0.0028,8.2308,0.0039,1.6459716811130854E-5,J10251-102,BD-09 3070,11.674,0.05,UCAC4,10.951,0.06,10.219,0.08,UCAC4
J10273+799,2.0,0.549,0.022,J10273+799,27.858,0.196,0.045,0.001,18634.611028634507,1.2621674766800857E-4,2.1844333386918033,0.7327882017090599,2.0,,,,,,,,12.766,0.07,11.1001,0.0028,10.0438,0.0038,1.262167476680086E-4,J10273+799,2MASS J10272334+7959511,13.492,0.09,UCAC4,12.766,0.07,11.956,0.05,UCAC4
J10286+322,2.5,,,J10286+322,22.417,0.017,0.0,0.0,0.0,Infinity,1.1396350654750143,0.414358089694346,2.5,,,,,,,,13.812,0.03,12.3931,0.0028,11.0871,0.0207,Infinity,J10286+322,G 118-61A,14.661,0.02,UCAC4,13.812,0.03,12.989,0.01,UCAC4
J10289+008,2.0,0.413,0.012,J10289+008,7.038,0.001,0.026,0.0,168687.33672064947,1.4482415370911714E-5,0.14481836373091575,0.04333287818105788,2.0,LA,Karmn,AB Dor,2.0,,32.72370147705078,,10.393,0.03,8.676,0.0028,7.5822,0.0039,1.4482415370911712E-5,J10289+008,BD+01 2447,11.135,0.02,UCAC4,10.393,0.03,9.705,0.08,UCAC4
J10359+288,3.0,0.479,0.0199,J10359+288,29.061,0.377,0.024,0.001,9132.670201772726,5.475944950415506E-4,5.054516270967122,1.142092270519701,3.0,bet Pic,Schl12a,bet Pic,4.0,2.0,,,13.928,0.02,12.0172,0.003,10.846,0.0045,5.475944950415506E-4,J10359+288,RX J1035.9+2853,14.751,0.05,UCAC4,13.928,0.02,13.165,0.03,UCAC4
J10360+051,3.5,0.3605,0.0106,J10360+051,15.274,0.012,0.014,0.0,19285.46566599423,8.80870660007223E-4,4.7429601281423714,0.8054767614724602,3.5,,,,2.9,1.6,,,13.402,0.03,11.3671,0.003,10.142,0.0043,8.808706600072229E-4,J10360+051,RY Sex,14.235,0.06,UCAC4,13.402,0.03,12.658,0.04,UCAC4
J10364+415,2.5,0.6304,0.0247,J10364+415,28.326,0.381,0.046,0.001,18424.469294411127,1.0220104504088224E-4,1.8081000119595494,0.6798379209798392,2.5,,,,,,,,13.012,0.01,11.2717,0.0028,10.1642,0.004,1.0220104504088226E-4,J10364+415,G 146-48,13.79,0.01,UCAC4,13.012,0.01,12.224,0.01,UCAC4
J10367+153,3.5,,,J10367+153,20.008,0.035,0.0,0.0,0.0,Infinity,9.494906499623177,1.4017910690998174,3.5,,,,,,,,14.034,0.04,12.2745,0.0037,10.5851,0.0094,Infinity,J10367+153,RX J1036.7+1521,14.916,0.04,UCAC4,14.034,0.04,13.308,0.06,UCAC4
J10368+509,4.5,,,J10368+509,24.552,0.137,0.0,0.0,0.0,Infinity,1.0301573580913062,0.3917194945516773,4.5,,,,,,2.5391,,15.276,0.01,13.0011,0.0028,11.7233,0.0038,Infinity,J10368+509,LP 127-502,16.146,0.04,UCAC4,15.276,0.01,14.656,0.04,UCAC4
J10384+485,3.0,0.4589,0.0188,J10384+485,31.057,0.028,0.022,0.0,7330.124639377031,3.8103035353996827E-4,3.2239740099029413,0.5355975319528853,3.0,HS,Karmn,,20.0,,3.180299997329712,,14.165,0.02,12.2655,0.0028,11.0798,0.0039,3.810303535399683E-4,J10384+485,LP 167-071,14.951,0.01,UCAC4,14.165,0.02,13.47,0.05,UCAC4
J10453+385,0.5,,,J10453+385,13.866,0.018,0.0,0.0,0.0,Infinity,0.3159181410473018,0.09709938103389705,0.5,,,,,,,,10.094,0.01,8.6916,0.0029,7.5713,0.0042,Infinity,J10453+385,BD+39 2376,10.68,0.01,UCAC4,10.094,0.01,9.266,0.03,UCAC4
J10513+361,3.0,,,J10513+361,33.383,0.053,0.0,0.0,0.0,Infinity,14.442444244770662,2.275261647276189,3.0,,,,,,3.78,,14.011,0.09,12.2625,0.0029,11.0796,0.0043,Infinity,J10513+361,LP 263-035,14.765,0.106,APASS9,14.011,0.09,13.378,0.051,APASS9
J10520+005,4.3,,,J10520+005,39.276,0.295,0.0,0.0,0.0,Infinity,24.50518357220471,3.036840891905515,4.3,,,,,,1.3045,,14.636,0.04,12.4568,0.0031,11.1942,0.004,Infinity,J10520+005,G 45-11,15.486,0.09,UCAC4,14.636,0.04,13.898,0.01,UCAC4
J10522+059,5.0,0.1906,0.0111,J10522+059,13.928,0.008,0.003,0.0,4969.942646622775,0.0012905581593966242,1.4890460172551248,0.3257143041419133,5.0,,,,19.1,0.2,0.6899999976158142,,15.601,0.08,13.0754,0.003,11.7588,0.0044,0.0012905581593966242,J10522+059,NLTT 25568,16.595,0.11,UCAC4,15.601,0.08,14.823,0.04,UCAC4
J10564+070,6.0,0.09451,0.00806,J10564+070,2.409,0.0,0.001,0.0,55377.597741504294,3.282374242852558E-4,0.12624011937619295,0.0126886009951302,6.0,,,,2.0,,2.704,0.003,14.265,0.1,11.0384,0.0031,9.5855,0.0043,3.2823742428525563E-4,J10564+070,CN Leo,15.551,0.0,UCAC4,14.265,0.1,13.528,0.02,UCAC4
J10584-107,5.0,0.19288,0.00894,J10584-107,14.501,0.008,0.004,0.0,6113.244213147002,5.99190868071974E-4,0.921795275224849,0.25165035444872813,5.0,LA,Karmn,,3.2,1.5,,,15.043,0.006,12.7526,0.0029,11.45,0.0039,5.991908680719741E-4,J10584-107,LP 731-076,,,,15.043,0.006,,,
J11026+219,1.0,0.5408,0.0274,J11026+219,11.938,0.003,0.056,0.0,126279.41870531409,1.2650517832006353E-4,2.7246180126861406,0.42706999690380704,1.0,UMa,Karmn,,2.6,1.5,13.532299995422363,,10.467,0.1,8.8111,0.0028,7.8139,0.004,1.2650517832006356E-4,J11026+219,DS Leo,11.117,0.02,UCAC4,10.467,0.1,9.592,0.04,UCAC4
J11030+037,2.5,,,J11030+037,28.3,0.8,0.0,0.0,0.0,Infinity,1.7281052319177796,0.7725195938246988,2.5,,,,,,,,13.775,0.03,12.4026,0.0128,10.7458,0.0039,Infinity,J11030+037,Wolf 360,14.507,0.08,UCAC4,13.775,0.03,12.976,0.07,UCAC4
J11031+152,3.5,0.3676,0.0615,J11031+152,18.2,2.7,0.013,0.004,12612.704232647888,3.5210529818385154E-4,1.7604561061820143,0.44080774074617673,3.5,,,,,,,,13.898,0.08,12.0039,0.0084,10.5638,0.0043,3.521052981838516E-4,J11031+152,LP 431-050,14.712,0.01,UCAC4,13.898,0.08,13.074,0.01,UCAC4
J11031+366,3.5,0.3492,0.0154,J11031+366,22.829,0.012,0.012,0.0,7399.717133231698,0.001297887462268217,5.990010267927503,0.9486469904549726,3.5,,,,,,2.0487000942230225,,14.441,0.07,12.364,0.003,11.152,0.0045,0.001297887462268217,J11031+366,LP 263-064,15.353,0.12,UCAC4,14.441,0.07,13.752,0.07,UCAC4
J11033+359,1.5,0.3929,0.0144,J11033+359,2.546,0.0,0.023,0.001,1140298.8851042318,8.45129308623541E-6,0.07475844852752393,0.009285655712818183,1.5,,,,2.0,,48.0,,8.305,0.001,6.5512,0.0028,5.4755,0.0039,8.45129308623541E-6,J11033+359,Lalande 21185,7.506,0.0,UCAC4,8.305,0.001,7.49,0.0,UCAC4
J11036+136,4.0,,,J11036+136,15.187,0.016,0.0,0.0,0.0,Infinity,4.667000873628368,0.5840651172399495,4.0,,,,3.0,,34.42,,13.765,0.04,11.6626,0.0029,10.4397,0.0041,Infinity,J11036+136,LP 491-051,14.639,0.03,UCAC4,13.765,0.04,12.991,0.04,UCAC4
J11042+400,0.0,0.6639,0.0239,J11042+400,30.466,0.021,0.098,0.003,33931.4846963644,4.747802686035951E-5,1.7894847679879373,0.7231251812448068,0.0,,,,,,8.92,,11.315,0.07,10.171,0.0028,9.1892,0.0047,4.747802686035951E-5,J11042+400,LP 214-026,11.977,0.14,UCAC4,11.315,0.07,10.674,0.09,UCAC4
J11055+435,5.5,0.102855,0.0102855,J11055+435,4.906,0.001,0.001,0.0,13352.192080808,9.439648572513654E-4,0.3630489013427717,0.04026835616335907,5.5,,,,8.2,2.7,0.78,0.02,15.544,0.003,12.2573,0.0029,10.8548,0.0041,9.43964857251365E-4,J11055+435,WX UMa,,,,15.544,0.003,,,
J11075+437,3.0,0.3016,0.0138,J11075+437,25.748,0.018,0.01,0.0,4847.5319416415405,0.0013774019699425242,5.297487857990865,1.0726678934845968,3.0,,,,,,29.14,,14.605,0.01,12.6891,0.0029,11.5148,0.004,0.0013774019699425244,J11075+437,HAT 141-00828,15.486,0.01,UCAC4,14.605,0.01,13.855,0.01,UCAC4
J11110+304W,2.0,0.5464,0.0135,J11110+304W,11.883,0.003,0.051,0.0,116071.50328383785,1.9892910403791602E-5,0.39019147310982655,0.09513980382241055,2.0,,,,2.0,,,,10.768,0.02,9.0549,0.0028,7.9911,0.0038,1.9892910403791605E-5,J11110+304W,HD  97101B,11.458,0.03,UCAC4,10.768,0.02,9.983,0.01,UCAC4
J11118+335,3.5,,,J11118+335,13.354,0.006,0.0,0.0,0.0,Infinity,5.71076460412994,0.5702441117510052,3.5,,,,4.6,0.7,7.77,,13.099,0.01,11.136,0.0029,9.9376,0.0043,Infinity,J11118+335,CW UMa,13.918,0.01,UCAC4,13.099,0.01,12.314,0.01,UCAC4
J11151+734,2.5,,,J11151+734,14.465,0.004,0.0,0.0,0.0,Infinity,2.0089784661470267,0.28145229572930824,2.5,,,,,,,,12.497,0.103,10.6088,0.0028,9.4747,0.0046,Infinity,J11151+734,HD  97584B,11.339,0.0,UCAC4,12.497,0.103,,,
J11159+553,0.5,0.6656,0.0241,J11159+553,28.18,0.015,0.072,0.001,29137.893631109455,8.545229961737157E-4,23.662766173015548,1.8199203186149764,0.5,LA,Karmn,,30.0,,1.0018999576568604,,11.995,0.01,10.473,0.0029,9.4647,0.0043,8.545229961737157E-4,J11159+553,StKM 1-932,12.68,0.02,UCAC4,11.995,0.01,11.189,0.01,UCAC4
J11200+658,0.0,,,J11200+658,9.072,0.001,0.0,0.0,0.0,Infinity,0.16359773743657274,0.054762396356088976,0.0,,,,2.5,,149.7,,10.273,0.03,8.5276,0.0028,7.5461,0.0038,Infinity,J11200+658,SZ UMa,11.032,0.0,UCAC4,10.273,0.03,9.462,0.0,UCAC4
J11201-104,2.0,0.5272,0.0035,J11201-104,18.93,0.014,0.042,0.0,37666.53801291249,6.400375790674276E-4,10.338654882806194,0.9305990571206155,2.0,,,,3.6,1.5,5.643442,0.0053725303,11.999,0.03,10.3027,0.003,9.2235,0.0041,6.400375790674277E-4,J11201-104,LP 733-099,12.734,0.01,UCAC4,11.999,0.03,11.25,0.04,UCAC4
J11214-204,2.5,,,J11214-204,13.125,0.005,0.0,0.0,0.0,Infinity,15.457315611424729,0.91925864838881,2.5,,,,,,,,12.056,0.001,10.1805,0.0029,9.0152,0.0059,Infinity,J11214-204,HD  98712B,,,,12.056,0.001,,,
J11240+381,4.5,0.2302,0.0121,J11240+381,18.455,0.011,0.005,0.0,4717.9090224409865,0.001075264472056082,2.0677335335463978,0.5457707862792844,4.5,UMa?,Shk12,UMa?,,,0.47,,15.32,0.01,13.0077,0.0028,11.7477,0.0039,0.0010752644720560815,J11240+381,1RXS J112405.0+380809,16.223,0.05,UCAC4,15.32,0.01,14.549,0.01,UCAC4
J11421+267,2.5,0.4131,0.0123,J11421+267,9.775,0.003,0.024,0.0,80720.79119208123,2.1283241021155565E-5,0.19645282962930988,0.07661431604516118,2.5,,,,2.0,,44.6,2.0,11.373,0.02,9.582,0.0028,8.4438,0.0038,2.1283241021155568E-5,J11421+267,Ross 905,12.179,0.01,UCAC4,11.373,0.02,10.613,0.01,UCAC4
J11433+253,4.0,0.4854,0.0408,J11433+253,36.031,0.223,0.022,0.003,5446.001449867598,6.566285389607097E-4,5.555865363749322,1.4029492288470504,4.0,HS,Karmn,,13.5,0.9,1.3270000219345093,,14.4794,0.0037,12.839,0.0035,11.2707,0.0045,6.566285389607097E-4,J11433+253,LTT 13220,15.236,0.121,APASS9,14.4794,0.0037,13.885,0.171,APASS9
J11470+700,4.0,,,J11470+700,30.434,0.166,0.0,0.0,0.0,Infinity,9.740030163196494,1.1904851210636613,4.0,,,,,,3.4877,,14.465,0.05,12.8881,0.0039,11.0703,0.0107,Infinity,J11470+700,G 236-81A,15.353,0.13,UCAC4,14.465,0.05,13.74,0.01,UCAC4
J11474+667,5.0,0.289,0.0075,J11474+667,21.054,0.065,0.008,0.0,5800.005400561282,3.855168929357846E-4,1.1861584325243213,0.27425935423318093,5.0,Cas,Karmn,,2.7,1.5,13.351900100708008,,15.263,0.1,12.9609,0.0035,11.6325,0.006,3.855168929357844E-4,J11474+667,1RXS J114728.8+664405,16.197,0.12,UCAC4,15.263,0.1,14.589,0.13,UCAC4
J11476+002,4.0,0.3372,0.0105,J11476+002,18.82,0.011,0.012,0.0,10888.039518975515,7.514667949136129E-4,3.4681695820318286,0.5395966509519452,4.0,LA/IC,Karmn,,2.4,1.5,11.6,0.04,14.05,0.02,11.9669,0.0028,10.7274,0.0039,7.514667949136129E-4,J11476+002,LP 613-49A,14.936,0.03,UCAC4,14.05,0.02,13.339,0.05,UCAC4
J11477+008,4.0,0.17322,0.00971,J11477+008,3.375,0.0,0.004,0.0,112854.82207523714,5.3165650254625085E-5,0.08179004023653348,0.014313256391384522,4.0,,,,2.0,,163.0,3.0,11.887,0.01,9.601,0.0029,8.3278,0.0038,5.316565025462507E-5,J11477+008,FI Vir,12.861,0.04,UCAC4,11.887,0.01,11.114,0.03,UCAC4
J11485+076,3.5,0.3164,0.0144,J11485+076,20.71,0.013,0.01,0.0,7492.857853105249,9.579789332747526E-4,3.6843868950222323,0.6195395739874642,3.5,UMa,Karmn,,14.0,0.5,0.7077999711036682,,14.455,0.06,12.359,0.0029,11.1422,0.0041,9.579789332747527E-4,J11485+076,G 10-52,15.304,0.03,UCAC4,14.455,0.06,13.643,0.07,UCAC4
